"id","xmlid","author-name","title","author-birth","author-death","author-gender","author-ids","reference-year","first-edition","provenance","size-category","time-slot"
"ENG18410_Sinclair","ENG18410","Sinclair, Catherine","Modern Flirtations: or, A Month at Harrowgate",1800,1864,"F","https://viaf.org/viaf/37692813/",1841,1841,"NA","long","T1"
"ENG18440_Disraeli","ENG18440","Disraeli, Benjamin","Coningsby: or, The New Generation",1804,1881,"M","https://viaf.org/viaf/49233448/",1844,1844,"Chadwyck-Healey Ltd (A Bell & Howell Information and Learning      company)","long","T1"
"ENG18411_Tupper","ENG18411","Tupper, Martin Farquhar","The Twins: A Domestic Novel",1810,1889,"M","https://viaf.org/viaf/44385259/",1844,1844,"NA","short","T1"
"ENG18450_Disraeli","ENG18450","Disraeli, Benjamin","Sybil, Or the Two Nations",1804,1881,"M","https://viaf.org/viaf/49233448/",1845,1845,"NA","long","T1"
"ENG18460_Reynolds","ENG18460",,"The mysteries of London",1814,1879,"M","https://viaf.org/viaf/72764995/",1846,1846,"NA","long","T1"
"ENG18471_Bronte","ENG18471","Brontë, Emily","Wuthering Heights",1818,1848,"F","https://viaf.org/viaf/97097302/",1847,1847,"NA","long","T1"
"ENG18470_Aguilar","ENG18470","Aguilar, Grace","Home Influence: A Tale for Mothers and Daughters",1816,1847,"F","https://viaf.org/viaf/7628015/",1847,1847,"NA","long","T1"
"ENG18480_Thackeray","ENG18480","Thackeray, William Makepeace","Vanity Fair: A Novel without a Hero",1811,1863,"M","https://viaf.org/viaf/95208604/",1848,1848,"New York: P.F. Collier & Son, 1917","long","T1"
"ENG18481_Dickens","ENG18481","Dickens, Charles","Dombey and Son",1812,1870,"M","https://viaf.org/viaf/88666393/",1848,1848,"Oxford Text Archive","long","T1"
"ENG18482_Gaskell","ENG18482","Gaskell, Elizabeth Cleghorn","Mary Barton: A Tale of Manchester Life",1810,1865,"F","https://viaf.org/viaf/39377536/",1848,1848,"NA","long","T1"
"ENG18490_Skene","ENG18490","Skene, Felicia","The Inheritance of Evil",1821,1899,"F","https://viaf.org/viaf/26018946/",1849,1849,"Digital Library Program, Indiana                        University","short","T1"
"ENG18500_Ainsworth","ENG18500","Ainsworth, William Harrison","Auriol, or The elixir of life",1805,1882,"M","https://viaf.org/viaf/46894596/",1850,1850,"eBooks@Adelaide","short","T1"
"ENG18510_Kingsley","ENG18510","Kingsley, Charles","Yeast: A Problem",1819,1875,"M","https://viaf.org/viaf/27081838/",1851,1851,"NA","medium","T1"
"ENG18531_Yonge","ENG18531","Yonge, Charlotte Mary","The Heir of Redclyffe",1823,1901,"F","https://viaf.org/viaf/71399881/",1853,1853,"Chadwyck-Healey Ltd (A Bell & Howell Information and     Learning company)","long","T1"
"ENG18530_Dickens","ENG18530","Dickens, Charles","Bleak House",1812,1870,"M","https://viaf.org/viaf/88666393/",1853,1853,"NA","long","T1"
